Country,min_obesity,max_obesity,min_malnutrition,max_malnutrition,obesity_trend,malnutrition_trend
Americas Region,11.5697,37.1641,1.6069,2.82797,Obesity ↑,Malnutrition ↑
Bulgaria,6.25613,26.4058,1.02653,4.62268,Obesity ↑,Malnutrition ↑
Saint Kitts and Nevis,14.6042,55.0015,2.38278,4.95807,Obesity ↑,Malnutrition ↑
Mauritania,2.42128,32.7398,5.72263,17.0557,Obesity ↑,Malnutrition ↑
Argentina,8.57475,37.1728,1.2482,3.52736,Obesity ↑,Malnutrition ↑
South Sudan,1.68929,11.183,4.61284,18.9059,Obesity ↑,Malnutrition ↑
High Income,10.8816,27.2173,1.62781,3.9773,Obesity ↑,Malnutrition ↑
Nigeria,1.37216,14.6269,7.85083,21.981,Obesity ↑,Malnutrition ↑
Panama,8.64762,42.968,1.67627,3.10051,Obesity ↑,Malnutrition ↑
Brunei Darussalam,12.1294,34.2749,2.79561,6.25624,Obesity ↑,Malnutrition ↑
Slovakia,5.04381,33.139,0.674027,3.81909,Obesity ↑,Malnutrition ↑
Djibouti,1.03139,15.8291,4.70406,14.8196,Obesity ↑,Malnutrition ↑
Switzerland,4.87454,16.6194,0.523908,4.67879,Obesity ↑,Malnutrition ↑
Austria,6.67858,19.9561,0.759978,3.29559,Obesity ↑,Malnutrition ↑
Sao Tome and Principe,2.16442,21.2638,2.10186,8.21627,Obesity ↑,Malnutrition ↑
Ghana,1.56798,19.3496,4.99912,9.96396,Obesity ↑,Malnutrition ↑
Lao People's Democratic Republic,1.66743,12.0161,4.0149,12.2555,Obesity ↑,Malnutrition ↑
New Zealand,12.69,35.3893,0.451409,1.74453,Obesity ↑,Malnutrition ↑
Belgium,5.04161,22.651,0.897901,2.65884,Obesity ↑,Malnutrition ↑
Zambia,1.39426,14.427,3.04869,12.3654,Obesity ↑,Malnutrition ↑
Romania,2.99505,40.0962,1.27889,5.74225,Obesity ↑,Malnutrition ↑
Saint Lucia,12.3798,46.6557,2.84112,5.23408,Obesity ↑,Malnutrition ↑
Portugal,4.71919,28.8164,0.70781,2.98144,Obesity ↑,Malnutrition ↑
Armenia,3.31756,33.7125,2.09736,4.79419,Obesity ↑,Malnutrition ↑
Malaysia,9.44,27.0587,4.79217,9.53461,Obesity ↑,Malnutrition ↑
Nicaragua,7.18135,37.4421,0.96417,3.62896,Obesity ↑,Malnutrition ↑
Eritrea,0.800528,5.81829,7.86806,35.8941,Obesity ↑,Malnutrition ↑
China,2.72033,19.6244,2.73115,7.35933,Obesity ↑,Malnutrition ↑
Burkina Faso,0.451446,8.59195,3.5992,19.7642,Obesity ↑,Malnutrition ↑
