Year,africa_malnutrition
2012,8.849654905550869
2013,8.749856673022533
2014,8.662762269060662
2015,8.587719190416607
2016,8.523124623594555
2017,8.466464697469211
2018,8.414721996648938
2019,8.369700265480272
2020,8.331319937469265
2021,8.298625914974416
2022,8.270095557819866
